אֵב	ev
טֶהֱרָאנִי	teherani
טוֹב	tov
טוּב	tuv
טוֹבָה	tova
טוּבְיָּה	tuvya
טוואי המשי	tevay hameshi
טוֹטַל לוֹס	total los
טוּנְגְּסְטֶן	tungsten
טַוָּס	tavas
טוֹפּוֹלוֹגְיָה	topologya
טוֹרְסוֹ	torso
טוּרְקִי	turki
טוּרְקְיָה	turkya
טָחוּן	takhun
טָחַן	takhan
טְיוּטָה	tyuta
טִיּוּל	tiyul
טִיט	tit
טִיל	til
טִיֵּל	tiyel
טַיָּס	tayas
טַיִס	tayis
טִיסָה	tisa
טִיסוֹת	tisot
טִיפּ	tip
טִיפּוּס	tipus
טִירָה	tira
טֵי״ת	tet
טֵית	tet
טֶכְנוֹלוֹגִי	tekhnologi
טֶכְנוֹלוֹגְיָה	tekhnologia
טַל	tal
טְלָאִים	tlaim
טֶלֶגְרָף	telegraf
טִלְגְּרֵף	tilgref
טָלֶה	tale
טֶלֶוִיזְיָה	televizya
טֶלֶוִיזְיוֹת	televizyot
טִלְטֵל	tiltel
טֻלְטַל	tultal
טָלִין	talin
טַלִּית	talit
טַלִּיתוֹת	talitot
טֶלֶסְקוֹפּ	teleskop
טֵלֶסְקוֹפִּים	teleskopim
טִלְפֵּן	tilpen
טָמַן	taman
טֶמְפֶּרָטוּרָה	temperatura
טֶנִיס	tenis
טֶנִיסַאי	tenisai
טֶנִיס שׁוּלְחָן	tenis shulkhan
טֶנִיס שֻׁלְחָן	tenis shulkhan
טִנֵּף	tinef
טֻנַּף	tunaf
טַנְק	tank
טָס	tas
טֶסְט	test
טֶסְטוֹסְטֶרוֹן	testosteron
טָעָה	taa
טָעוּת	taut
טְעֻיּוֹת	tauyot
טָעִים	taim
טְעִימָה	tima
טַעַם	taam
טָעַם	taam
טַף	taf
טִפָּה	tipa
טִפּוּל	tipul
טִפּוּלִים	tipulim
טִפּוּס	tipus
טַפִּיל	tapil
טַפִּילִי	tapili
טֻפַּל	tupal
טֻפְּלוּ	tuplu
טִפֵּס	tipes
טֹפֶר	tofer
טֹפֶר	tofer
טִפֵּשׁ	tipesh
טֶקִילָה	tekila
טְרָאוּמָה	trauma
טְרָגֶדְיָה	tragedya
טְרָגִי	tragi
טְרוֹל	trol
טָרִי	tari
טֵרִי	terry
טְרִי	tri-
טְרִיבּוּנָה	tribunalt--maybe tribuna--gt
טְרִיָּה	triya
טרייה	triya
טְרִיפּ	trip
טָרַף	taraf
טִרְפֵּד	tirped
טָרָרָם	tararam
יָא	ya
יָאִיר	yair
יֵאָכֵל	yeachel
יֹאכַל	yochal
יַאלְלָה	yalla
יַאֲמִינוּ	yaaminu
יֵאָמַר	yeamar
יֹאמֶר	yomer
יֹאמְרוּ	yomru
יְאֹר	yor
יֹאשִׁיָּהוּ	yoshiyahu
יָבוֹא	yavo
יַבְעֶר	yaver
יִבְעַר	yivar
יְבַעֵר	yvaer
יָבֵשׁ	yavesh
י־ב־שׁ	y-b-sh
יִבֵּשׁ	yibesh
יַבָּשָׁה	yabasha
יַבֶּשֶׁת	yabeshet
יָד	yad
יַדְבֵּר	yadber
יְדַבֵּר	ydaber
יָדָה	yada
יָדָהּ	yadah
יָדוֹ	yado
יַדּוּ	yadu
יִדּוּעַ	yidua
יָדִיד	yadid
יָדִיד	ydidei
יְדִידוּת	ydidut
יְדִידוּתִי	ydiduti
יְדִידִים	ydidim
יָדֶיךָ	yadecha
יָדַיִם	yadayim
יְדִיעָה	ydia
יָדִית	yadit
יָדְךָ	yadcha
יְדָנִי	ydani
יָדַע	yada
יֶדַע	yeda
יִדֵּעַ	yidea
יֻדַּע	yuda
יָדַעְתִּי	yadati
יָהַב	yahav
יְהָב	yhav
יַהֲדוּת	yahadut
יַהֲדוּת חֲרֵדִית	yahadut kharedit
יַהֲדוּת קוֹנְסֶרְבָטִיבִית	yahadut konservativit
יְהוּדָה	yhuda
יְהוּדִי	yhudi
יְהוּדִים	yhudim
יְהוּדִית	yhudit
יהוה	yhvh
יְהוֹשֻׁעַ	yhoshua
יְהִי	yhi
יִהְיֶה	yihye
יָהִיר	yahir
־ָיו	-av, -aw
יוֹאָב	yoav
יוֹאֵל	yoel
יוֹבֵל	yovel
יוּבַל	yuval
יוֹגוּרְט	yogurt
יוֹ״ד	yod
יוֹד	yod
יוֹדֵעַ	yodea
יוֹחָנָן	yokhanan
יוּלִי	yuli
יוֹם	yom
יוֹם־הֻלֶּדֶת	yom-huledet
יוֹם טוֹב	yom tov
יוֹם שִׁשִּׁי	yom shishi
יוֹמוּלֶדֶת	yomuledet
יוֹמָן	yoman
יָוָן	yavan
יוֹן	yon
יוֹנָה	yona
יוֹנוֹסְפֶרָה	yonosfera
יוֹנִי	yoni
יוּנִי	yuni
יְוָנִי	yvani
יְוָנִית	yevanit
יְוָנִית	yvanit
יוֹנֵק	yonek
יוֹנַת	yonat
יוֹנָתָן	yonatan
יוֹסִי	yosi
יוֹסֵף	yosef
יוֹצֵא	yotse
יוֹצֵאת	yotset
יוֹרֵד	yored
יוֹרְדִים	yordim
יוֹרֶדֶת	yored
יוֹרֶדֶת	yoredet
יוֹרָה	yora
יוֹרֶה	yore
יוּרָה	yura
יוֹרֵשׁ	yoresh
יוֹשֵׁב	yoshev
יוֹשֶׁבֶת	yoshevet
־ִיּוֹת	-iyot
־ִיּוּת	-iyut
־ֻיּוֹת	-uyot
יוֹתֵר	yoter
יוֹתֵר מִדַּי	yoter miday
יָזִיז	yaziz
יָזְמָה	yozma
יֶזַע	yeza
יִחֵד	yikhed
יְחֶזְקֵאל	yekhezkel
יְחִי	ykhi
יְחִידָה	yehida
יַחַס	yakhas
יַחֲסֵי מִין	yakhasey min
יָחֵף	yakhef
יְיָ	yy
יִידִישׁ	yidish
יַיִן	yayin
יֵינוֹת	yenot
יְכוֹלֶת	ykholet
יַכְטָה	yakhta
יָכֹל	yakhol
יָכְלָה	yachla
יְכַלֶּה	ychale
יִכְלֶה	yichle
יָלַד	yalad
יֶלֶד	yeled
יַלְדָּה	yalda
יָלְדָה	yalda
יַלְדוּת	yaldut
יְלָדוֹת	yladot
יַלְדֵי	yalde
יַלְדִּי	yaldi
יִלְדֵי	yilde
יְלָדַי	yladay
יְלִדֵי	ylide
יְלָדִים	yladim
יַלֶּדְכֶן	yaledchen
יָלִיד	yalid
יְלִידֵי	ylidei
יַלֶּפֶת	yalefet
יָם	yam
יַם הַמֶּלַח	yam hamelakh
יַם סוּף	yam suf
יַמַּאי	yamai
יְמֵי הַבֵּינַיִם	ymei habeinayim
יַמִּים	yamim
יָמִים	yamim
יָמִים טוֹבִים	yamim tovim
יָמִין	yamin
יְמָמָה	yemama
יָנוּאָר	yanuar
יָנַק	yanak
יַנְקוּת	yanqut
יַנְשׁוּף	yanshuf
יַנְשׁוּפִים	yanshufim
יִסֵּד	yised
יְסוֹד	yesod
יִסּוּד	yisud
יַסְמִין	yasmin
יַעֲבִדוּ	yaavidu
יָעֶה	yae
יְעִילוּת	yilut
יָעִים	yaim
יָעֵל	yael
יָעֵל	yael
יִעֵל	yiel
יֹעַל	yoal
יַעֲנוּ	yaanu
יְעַנּוּ	yanu
יַעְנִי	yani
יַעֲקֹב	yaaqov
יַעַר	yaar
יַעֲשֶׂה	yaase
יֵּעָשֶׂה	yease
יָפֶה	yafe
יְפֵהפֶה	yfefe
יָפוֹ	yafo
יֹפִי	yofi
יַפָּן	yapan
יָפָּנִית	yapanit
יִפְרֶה	yifre
יִפְרֹץ	yifrots
יָצָא	yatsa
יֹצְאֵי	yotse
יָצוּק	yatsuk
יְצוּקָה	ytsuka
יִצְחַק	yitskhak
יִצְחָק	yitskhak, yishaq
יְצִיאָה	ytsia
יְצִיבוּת	ytsivut
יָצַר	yatsar
יֵצֶר	yetser
יָקוּם	yakum
יְקוּם	yekum
יִקּוֹם	yikom
יָקִינְתּוֹן	yakinton
יַקִּיר	yakir
יָקָר	yakar
יִקָּרֵא	yikare
יִקְרָא	yikra
יָרֵא	yare
יָרְאוּ	yaru
יֵרָאוּ	yerau
יִרְאוּ	yiru
יְראוּ	yru
יַרְבֶּה	yarbe
יִרְבֶּה	yirbe
יָרַד	yarad
יָרַד גֶּשֶׁם	yarad geshem
יַרְדֵּ֔ן	yarden
יָרָה	yara
יָרוּי	yarui
יְרוּשָׁלַיִם	yerushalayim
יְרוּשָׁלַ͏ִם	yrushalayim
יְרוּשָׁלֵם	yrushalem
יָרֵחַ	yareakh
יֶרַח	yerakh
יְרֵחִי	yrekhi
יְרָחִים	yrakhim
יֶרִי	yeri
יְרִידָה	yrida
יְרִיחוֹ	yrikho
יְרִיעָה	yeria
יָרֵךְ	yarekh
יִרְמְיָה	yirmya
יִרְמְיָהוּ	yirmyahu
יָרַק	yaraq
יָרָק	yaraq
יָרֹק	yarok
יָרֹק	yaroq
יֶרֶק	yereq
יַרְקָן	yarqan
יְרַקְרַק	yrakrak
יָרַשׁ	yarash
יְרֻשָּׁה	yrusha
יֵשׁ	yesh
יש;	yesh
יָשַׁב	yashav
יַשֵּׁב	yashev
יִשֵּׁב	yishev
י־שׁ־ב	y-sh-b
יַשְׁבָן	yashban
יֵשׁוּ	yeshu
יִשּׁוּב	yishuv
יִשּׂוּם	yisum
יֵשׁוּעַ	yeshua
יְשׁוּת	yeshut
יְשִׁיבָה	yshiva
יְשִׁיבוֹת	yshivot
יְשִׁיבַת	yshivat
יָשִׂימוּ	yasimu
יש ל־ ג׳וק בראש	yesh l- juk ba-rosh
יִשְׁמָעֵאל	yishmael
יִשְׁמְעוּ	yishmu
יִשְׁמְעוּן	yishmun
יָשָׁן	yashan
יָשֵׁן	yashen
יָשָׁן נוֹשָׁן	yashan noshan
יְשַׁעֲיָהוּ	ysaayahu
יָשָׁר	yashar
יֹשֶׁר	yosher
יִשְׂרָאֵל	yisrael
יִשְׂרְאֵלִי	yisreli
יִשְׂרְאֵלִיּוֹת	yisreliyot
יִשְׂרְאֵלִים	yisrelim
יִשְׂרְאֵלִית	yisrelit
יִשְׁרְצוּ	yishrtsu
יִשָּׂשכָר	yisakhar
יָתֵד	yated
יָתוֹם	yatom
יְתוֹמִים	ytomim
יִתֵּן	yiten
יֻתַּן	yutan
יֶתֶר	yeter
יִתְרוֹן	yitaron
כְּ־	k-
כָּאַב	kaav
כְּאֵב	keev
כְּאֵב רֹאשׁ	keev rosh
כָּאוּב	kauv
כְּאִלּוּ	kilu
כָּאן	kan
כַּאֲשֶׁר	kaasher
כָּבֵד	kaved
כִּבֵּד	kibed
כִּבָּה	kiba
כֻּבָּה	kuba
כָּבוֹד	kavod
כִּבּוּשׁ	kibush
כִּבְיָכוֹל	kivyakhol
כְּבִיסָה	kvisa
כְּבִישׁ	kvish
כְּבִישִׁים	kvishim
כִּבֵּס	kibes
כְּבָר	kvar
כָּבַשׁ	kavash
כֶּבֶשׂ	keves
כֶּבֶשׁ	kevesh
כַּד	kad
כְּדַאי	kdai
כַּדּוּר	kadur
כַּדּוּרֶגֶל	kaduregel
כַּדּוּרִים	kadurim
כַּדּוּר סַל	kadursal
כַּדּוּרְסַל	kadursal
כַּדּוּרְעָף	kaduraf
כַּדּוּר פּוֹרֵחַ	kadur poreakh
כְּדַי	kdai
כְּדֵי	kde
כֹּה	ko
כֵּהֶה	kehe
כֹּהֶל	kohel
כִּהֵן	kihen
כֹּהֵן‎	kohen
כֹּהֵן	kohen
כְּהֻנָּה	khuna
כֹּהַנִים‎	kohanim
כֹּהֶנֶת	kohenet
כּוֹבַע	kova
כּוֹבְעֵי־גֶּרֶב	kovaei-gerev
כּוֹבָעִים	kovaim
כִּוּוּן	kivun
כּוּזָרִים	kuzarim
כּוֹכָב	kokhav
כּוֹכְבֵי לֶכֶת	kochve lechet
כּוֹכַב יָם	kokhav yam
כּוֹכָבִית	kokhavit
כּוֹכַב לֶכֶת	kokhav lekhet
כּוֹלֵל	kolel
כּוֹלֶסְטֶרוֹל	kolesterol
כִּוֵּן	kiven
כַּוָּנָה	kavana
כּוֹנָן	konan
כּוֹנֵן	konen
כּוֹנָן קָשִׁיחַ	konan kashiakh
כּוֹס	kos
כּוּס	kus
כּוֹסוֹת	kosot
כּוּסְכּוּס	kuskus
כּוֹר	kor
כּוּר	kur
כַּוֶּרֶת	kaveret
כּוֹרֵת	koret
כּוֹרֵת עֵצִים	koret etsim
כּוּשׁ	kush
כּוּשִׁי	kushi
כּוֹתֵב	kotev
כָּזַב	kazav
כִּזֵּב	kizev
כָּזֶה	kaze
כְּזַיִת	kzayit
כֹּחַ	koach
כֹּחַ	koakh
כֹּחוֹת	kokhot
כָּחֹל	kahol
כְּחַלְחַל	kkhalkhal
כִי	chi
כִּי	ki
כ״י	k.y.
כִּידוֹן	kidon
כידון רובה	kidon rovee
כִּיּוֹר	kiyor
כִימְיָה	khimya
כַּיָּס	kayas
כִּיס	kis
כִּיֵּס	kiyes
כִּיסֵּא מַלְכוּת	kise malkhut
כֵּיף	keif
כֵּיצַד	keytsad
כָּךְ	kakh
כִּכֵב	kikhev
כָּכָה	kacha
כָּכָה־כָּכָה	kakha-kakha
כִּכָּר	kikar
כֹּל	kol
כָּלָא	kala
כֶּלֶא	kele
כֶּלֶב	kelev
כַּלְבָּה	kalba
כְּלָבוֹת	klavot
כֶּלֶב יָם	kelev-yam
כְּלָבִים	klavim
כֶּלֶב כְּנַעֲנִי	kelev kenaani
כְּלַבְלַב	klavlav
כְּלַבְלָבִים	klavlavim
כֶּלֶב נָהָר	kelev nahar
כַּלֶּבֶת	kalevet
כַּלָּה	kala
כָּלָה	kala
כִּלָּה	kila
כָּלוּא	kalu
כְּלוּב	kluv
כְּלוּם	klum
כְּלִי	kli
כְּלִי־דָּם	kli-dam
כְּלִי זַיִן	kli zayin
כְּלֵיזְמֶר	kleyzmer
כְּלִי טַיִס	kli tayis
כְּלִי נֶשֶׁק	kli nesheq
כְּלִי־רֶכֶב	kli-rekhev
כַּלְכָּלָה	kalkala
כַּלְכָּלִי	kalkali
כָּלַל	kalal
כְּלָל	klal
כַּלָּנִית	kalanit
כל עוד	kol od
כַּמָּה	kama
כָּמַהּ	kamah
כָּמֵהַּ	kameah
כְּמוֹ	kmo
כַּמּוּת	kamut
כְּמוֹת	kmot
כִּמְעַט	kimat
כֹּמֶר	komer
כַּמָּת	kamat
כֵּן	ken
כִּנָּה	kina
כִּנּוּי	kinui
כִּנּוֹר	kinor
כְּנִיסָה	knisa
כֶּנֶס	kenes
כִּנֵּס	khines
כְּנֵסִיָּה	knesia
כנסייות	knesiyot
כנסיית	knesiyat-
כְּנֶסֶת	kneset
כְּנַעַן	knaan
כְּנַעֲנִי	knaani
כְּנַעֲנִית	knaanit
כָּנָף	kanaf
כּנר	khanar
כַּנִּרְאֶה	kanire
כִּנֶּרֶת	kineret
כֵּס	kes
כִּסֵּא	kise
כִּסָּה	kisa
כִּסּוּי	kisui
כִּסּוּפִים	kisufim
כַּסְכּוּסִים	kuskusim
כִּסְלֵו	kislev
כֻּסֶּמֶת	kusemet
כֶּסֶף	kesef
כַּסְפּוֹמַט	kaspomat
כַּסְפִּי	kaspi
כַּסְפִּית	kaspit
כַּסְתָּ״ח	kastah
כַּעַס	kaas
כָּעַס	kaas
כְּעָסִים	kasim
כָּעֵת	kaet
כַּף	kaf
כָּ״ף	kaf
כַּף אַשְׁפָּה	kaf ashpa
כֵּף הַתִּקְוָה הַטּוֹבָה	kaf hatikva hatova
כָּפָּא	kappa
כָּפָה	kafa
כָּפָה	kafa past tense, kafa present tense
כַּפָּהּ	kapah
כִּפָּה	kipa
כָּפוּ	kafu
כָּפוּ	kafu
כַּפּוֹ	kapo
כָּפוּל	kaful
כְּפוּלָה	kfula
כְּפוּלוֹת	kfulot
כְּפוּלִים	kfulim
כְּפוֹר	kfor
כִּפּוּר	kipur
כַּפַּיִם	kapayim
כְּפִיר	kfir
כַּפִּית	kapit
כָּפַל	kafal
כֵּפֶל	kefel
כְּפָפָה	kfafa
כִּפְפַת אִגְרוּף	kiffat igruf
כְּפָר	kfar
כַּפָּרָה	kapara
כְּפַר סָבָא	kfar sava
כָּרָגִיל	ka-ragil
כָּרֶגַע	karega
כָּרָה	kara
כֵּרָה	kera
כְּרוּב	kruv
כְּרוּבִים	kruvim
כְּרוּכִית	krukhit
כַּרְטִיס	kartis
כַּרְטִיס אַשְׁרַאי	kartis ashrai
כַּרְטִיס בְּרָכָה	kartis bracha
כְּרִיכָה	krikha
כְּרִיסְטְמַס	kristmas
כָּרִישׁ	karish
כָּרִית	karit
כֶּרֶם	kerem
כַּרְמִיאֵל‎	karmiel
כַּרְמֶל	karmel
כָּרַע	kara
כָּרַת	karat
כְּשֶׁ־	kshe-
כִּשָּׁלוֹן	kishalon
כָּשֵׁר	kasher
כִּשָּׁרוֹן	kisharon
כַּשְׁרוּת	kashrut
כַּתָּב	katav
כָּתַב	katav
כְּתָב	ktav
כְּתֻבָּה	ktuba
כְּתַב יָד	ktav yad
כָּתוּב	katuv
כְּתוּבָה	ktuva
כְּתוּבִית	ktuvit
כְּתוֹבֶת	ktovet
כְּתִיב	ktiv
כְּתִיבָה	ktiva
כֹּתֶל	kotel
כָּתֹם	katom
כְּתַמְתַּם	ktamtam
כֻּתְנָה	kutna
כְּתֹנֶת	ktonet
כָּתֵף	katef
כֶּתֶר	keter
כִּתֵּר	kiter
כִּתַּת יוֹרִים	kitat-yorim
לֹא	lo
לֹּא בָּרָא הַשָּׂטָן	lo bara hasatan
לֵאָה	lea
לֶאֶהוֹב	leehov
לְאַחַר	lakhar
לְאַט	lat
לְאֹם	lom
לֹא מִדֻּבְשְׁךָ וְלֹא מֵעֻקְצְךָ	lo miduvshkha vlo meuktskha
לְאֻמִּי	lumi
לְאֻמִּיּוּת	lumiyut
לֵאמֹר	lemor
לְאָן	lan
לָאפָה	lafa
לְאַשֵׁר	lasher
לֵב	lev
לֵבָב	levav
לִבֵּב	libev
לְבָבוֹ	lvavo
לֶבֶד	leved
לְבַד	lvad
לִבּוֹ	libo
לִבְחוֹר	livkhor
לָבִיא	lavi
לְבִיָּא	lviya
לְבִיאָה	lvia
לְבִיבָה	leviva
לַבְלַב	lavlav
לִבְלֵב	livlev
לָבָן	lavan
לִבֵּן	liben
לֻבֵּן	luban
לְבַנְבַּן	lvanban
לַבָּנֶה	labane
לִבְנֶה	livne
לְבָנָה	lvana
לְבָנָה	lvana
לְבֵנָה	lvena
לְבָנוֹן	lvanon
לִבְנוֹת	livnot
לְבָנוֹת	lvanot
לֶבַנְטִינִי	levantini
לְבָנִים	lvanim
לְבֵנִים	lvenim
לִבְרוֹא	livro
לַבְּרִיאוּת	labriut
לְבָרֵךְ	lvarekh
לָבַשׁ	lavash
לְגַבֵּי	lgabei
לְגַלּוֹת	lgalot
לִגְלוֹת	liglot
לָגַם	lagam
לְגַמְרֵי	lgamre
לִגְנֹב	lignov
לְדַבֵּר	ldaber
לֵדָה	leda
לֵדָה	leida
לָדִינוֹ	ladino
לָדַעַת	ladaat
לָהּ	lah
לֶהָבָה	lehava
לְהִגָּמֵר	lhigamer
לְהוֹלִיד	lholid
לַהַט	lahat
לָהַט	lahat
לִהְיוֹת	lihyot
לְהַכְעִיס	lhakhis
לְהִלָּחֵם	lhilakhem
לַהֲלֹךְ	lahaloch
לָהֶם	lahem
לָהֶן	lahen
לְהַעֲלֹתוֹ	lhaaloto
לְהַפְרִיעַ	lhafria
לְהַצִּילוֹ	lhatsilo
לְהַצְלִיחַ	lhatsliach
לַהֲקָה	lahaka
לְהָרְגֵנִי	lhorgeni
לְהָרִיחַ	lhariakh
לְהַשְׁקוֹת	lhashkot
לְהִתְוַכֵּח	lhitvakeach
לְהִתְרָאוֹת	lhitraot
לוֹ	lo
לוּ	lu
לוּב	luv
לוֹבְּסְטֶר	lobster
לוֹגוֹ	logo
־לוֹגְיָה	-logya
לוֹד	lod
לוּד	lud
לוֹהֵט	lohet
לוּחַ	luakh
לוּחוֹת	lukhot
לוּחַ שָׁנָה	luakh shana
לֵוִי	levi
לְוִיִּם	lviyim
לַוְיָן	lavyan
לִוְיָתָן	livyatan
לוּל	lul
לוּלִין	lulin
לוּלְיָן	lulyan
לוֹנְדּוֹן	london
לְחַבֵּל	lkhabel
לְחִי	lekhi
לִחְיוֹת	likhyot
לְחַיִּים	lkhayim
לְחִימָה	lekhima
לֶחֶם	lekhem
לַחְמָנִיָּה	lakhmaniya
לַחַן	lakhan
לַחֲנוֹק	lakhanok
לְחַפֵּשׂ	lkhapes
לַחָץ	lakhatz
לָחַץ	lakhatz
לָחַשׁ	lakhash
לַחֲשׁוֹב	lachashov
'''לְטָאָה'''	ltaah
לַטְוִיָּה	latviya
לִטֵּף	litef
לִי	li
לִיבִּידוֹ	libido
לְיַד־	lyad-
לְיָד	lyad
לְיָדָהּ	lyada
לֵיְזֶר	leizer
לִיטָא	lita
לִיטָאִי	litai
לִיטָאִית	litait
לַיִל	layil
לֵיל	leil
לַיְלָה	layla
לַיְלָה טוֹב	laila tov
לֵילוֹת	leilot
לִימוֹן	limon
לִימוֹנָדָה	limonada
לִינְק	link
לִיסְבּוֹן	lisbon
לִירָה	lira
לֵית בְּרֵרָה	leyt berera
לִיתוֹגְרַפְיָה	litografia
לִיתְיוּם	lityum
לִכְבוֹד	likhvod
לִּכּוּד	likud
לִכּוּדְנִיק	likudnik
לכי	lach
לְכִי	lchi
לֵכִי	lechi
לִכְלוּךְ	likhlukh
לִכְלֵךְ	likhlekh
לְכָל שַׁבָּת יֵשׁ מוֹצָאֵי שַׁבָּת	lechol shabat yesh motzaei shabat
לָכֶם	lachem
לִכְתּוֹב	likhtov
לְלֹא	llo
לָלֶכֶת	lalekhet
לְ־, ל־, לִ־, לַ־, לֶ־, לָ־	l-, l-, li-, la-, le-, la-
לְ־, לִ־, לַ־, לֶ־, לָ־, לֵ־, לוֹ־	l-, li-, la-, le-, la-, le-, lo-
לְלַמֵּד	llamed
לָם	lam
לָמַד	lamad
לָמֶ״ד	lamed
לָמֶד	lamed
לִמֵּד	limed
לַמְדָנִי	lamdani
לָמָּה	lama
לָמָּה זֶה	lama ze
לְמוּאֵל	lmuel
לִמּוּד	limud
לִמּוּדִים	limudim
לֶמוּר	lemur
לְמִידָה	lmida
לְמַעְלָה	lmala
לְמַעַן	lmaan
לְמַעַן הַשֵּׁם	lemaan hashem
לַמְרוֹת	lamrot
לְמָשָׁל	lmashal
לָן	lan
לָן	lan
לָנוּ	lanu
לָנוּחַ	lanuakh
לִסְלוֹחַ	lisloakh
לְסַפֵּר	lsaper
לֶסֶת	leset
לַעֲבֹד	laavod
לָעַד	laad
לְעוֹלָם	lolam
לַעֲזָאזֵל	laazazel
לַעֲזוֹר	laazor
לָעַס	laas
לַעֲשׂוֹת	laasot
לְעִתִּים	leitim
לְעִתִּים קְרוֹבוֹת	leitim krovot
לְעִתִּים רְחוֹקוֹת	leitim rekhokot
לְעֵת עַתָּה	let ata
לְפָחוֹת	lfakhot
לְפִי־	lfi-
לַפִּיד	lapid
לְפִיו	lfiv
לִפְנֵי	lifnei
לִפְעָמִים	lifamim
'''לֶפֶת'''	lefet
לַק	laq
לֵק	leq
לָקָה	laka
לָקַח	lakakh
לֶקַח	lekakh
לְקַלְקֵל	lkalkel
לְקַנֵּא	lkane
לִקֵּק	likek
לֻקַּק	lukak
לֻקַּק	lukak
לִקְרַאת	likrat
לִרְאוֹת	lirot
לָרֶדֶת	laredet
לָרוּץ	laruts
לִרְחֹץ	lirchots
לָרִיב	lariv
לָשׁ	lash
לָשֶׁבֶת	lashevet
לְשַׁד	leshad
לָשׁוּב	lashuv
לָשׁוֹן	lashon
לָשׁוֹן הָרַע	lashon hara
לְשׁוֹנוֹת	lshonot
לְשַׁחְרֵר	lshakhrer
לְשַׁלְּחוֹ	lshalcho
לֶשֶׁם	leshem
לִשְׁמֹר	lishmor
לִשְׁתּוֹת	lishtot
לְתַרְגֵּם	ltargem
מִ־	mi-
מַאֲבָק	maavak
מְאֹד	mod
מַאֲדִים	maadim
מַאֲדִימִי	maadimi
מֵאָה	mea
מְאֹהָב	mohav
מַאֲהָל	maahal
מָאוֹר	maor
מְאַוְרֵר	mavrer
מְאוּשְׁכָּן	mushkan
מֵאוֹת	meot
מֵאָז	meaz
מְאֻחָד	mukhad
מְאֲחוֹרֵי	meakhorei
מְאֻחָר	mukhar
מַאי	may
מֵאַיִן	meayin
מֵאִיר	meir
מְאֻכְזָב	mukhzav
מַאֲכָל	maakhal
מְאֻכְלָס	mukhlas
מַאֲכֶלֶת	maakhelet
מְאַלֵּף	mealef
מְאֻלָּף	meulaf
מָאמִי	mami
מַאֲמָץ	maamats
מְאַמֵּץ	mamets
מְאֻמָּץ	mumats
מַאֲמָר	maamar
מְאֻנָךְ	meunakh
מָאַס	maas
מַאֲפִיָּה	maafiya
מַאֲפִיַּת	maafiyat
מְאֻשָּר	mushar
מְאֻשֶׁרֶת	musheret
מְאַת־	mat-
מָאתַיִם	matayim
מֵאִתָּנוּ	meiitanu
מְבֻגָּר	mevugar
מַבְדִּיל	mavdil
מְבוּכָה	mvukha
מַבּוּל	mabul
מְבוּשִׁים	mvushim
מִבְחָן	mivkhan
מַבָּט	mabat
מִבְטָא	mivta
מֵבִין	mevin
מְבֻיָּת	mvuyat
מְבַלְבֵּל	mvalbel
מְבֻלְבָּל	mvulbal
מִבְנֶה	mivne
מִבְצָע	mivtsa
מִבְצָר	mivtsar
מְבַקְשִׁים	mvakshim
מַבְרֵג	mavreg
מַבְרְגִים	mavrgim
מִבְרָשׁוֹת	mivrashot
מִבְרֶשֶׁת	mivreshet
מְבַשֵּׂר	mvaser
מָג	mag
מַגְבִּיל	magbil
מִגְבַּעַת	migbaat
מַגֶּבֶת	magevet
מֶגֶד	meged
מֻגָּד	mugad
מְגִדּוֹ	megido
מִגְדָּל	migdal
מֻגְדָּל	mugdal
מִגְדָּל בָּבֶל	migdal bavel
מִגְדָּלָהּ	migdalah
מִגְדָּר	migdar
מַגְהֵץ	maghetz
מְגַוֵּן	mgaven
מְגֻוָּן	mguvan
מִגְוָן	migvan
מגידי שיעור	magidei-shiur
מַגָּל	magal
מְגִלָּה	mgila
מָגֵן	magen
מָגֵן אֲשָׁכִים	magen ashakhim
מָגֵן בֵּיצִים	magen beytsim
מָגֵן דָּוִד	maen david
מַגְנֵט	magnet
מַגְנֵטִי	magneti
מַגְנֵטִיּוּת	magnetiut
מָגִנֵּי אֲשָׁכִים	maginei ashakhim
מַגְנִיב	magniv
מָגִנֵּי בֵּיצִים	maginei beytsim
מַגָּף	magaf
מִגְרָעָה	migraa
מַדְאִיג	madig
מְדַבֵּר	mdaber
מִדְבָּר	midbar
מְדַבֶּרֶת	mdaberet
מַדְגֵּשׁ	madgesh
מַדָּד	madad
מָדַד	madad
מַדְהִים	madhim
מַדּוּעַ	madua
מְדוּרָה	medura
מַדְחֹם	madhom
מָדַי	maday
מִדַּי	miday
מִדֵּי	midey
מִדְיָן	midyan
מָדִינָה	madina
מְדִינָה	mdina
מְדִינוֹת	mdinot
מְדִינַת	mdinat
מַדָּע	mada
מַדָּעִי	madai
מַדְּעֵי הַרוּחַ	madei ha-ruach
מַדְעָן	madan
מַדָּף	madaf
מַדְפֶּסֶת	madpeset
מַדְרֵגָה	madrega
מַדְרֵגוֹת	madregot
מַדְרִיד	madrid
מַדְרִיךְ	madrikh
מִדְרָכָה	midrakha
מִדְרָשׁ	midrash
מָה	ma
מְהַגֵּר	mhager
מַהוּ	mahu
מָהִיר	mahir
מְהִירוֹת	mhirot
מְהִירוּת	mhirut
מַה יֵּשׁ;	ma yesh
מַה לַּעֲזָאזֵל	ma laazazel
מְהַנְדֵּס	mhandes
מְהַנְדְּסֵי	mhandse
מְהַנְדְּסִים	mhandsim
